site_no,datetime,Q cfs
3508050,12/5/17,251
3508050,12/6/17,285
3508050,12/7/17,208
3508050,12/8/17,214
3508050,12/9/17,155
3508050,12/10/17,251
3508050,12/11/17,226
3508050,12/12/17,241
3508050,12/13/17,238
3508050,12/14/17,221
3508050,12/15/17,168
3508050,12/16/17,161
3508050,12/17/17,151
3508050,12/18/17,153
3508050,12/19/17,156
3508050,12/20/17,231
3508050,12/21/17,243
3508050,12/22/17,211
3508050,12/23/17,213
3508050,12/24/17,213
3508050,12/25/17,231
3508050,12/26/17,280
3508050,12/27/17,234
3508050,12/28/17,121
3508050,12/29/17,137
3508050,12/30/17,158
3508050,12/31/17,165
3508050,1/1/18,220
3508050,1/2/18,142
3508050,1/3/18,206
3508050,1/4/18,202
3508050,1/5/18,257
3508050,1/6/18,259
3508050,1/7/18,216
3508050,1/8/18,129
3508050,1/9/18,160
3508050,1/10/18,164
3508050,1/11/18,434
3508050,1/12/18,2590
3508050,1/13/18,1160
3508050,1/14/18,356
3508050,1/15/18,478
3508050,1/16/18,567
3508050,1/17/18,591
3508050,1/18/18,585
3508050,1/19/18,567
3508050,1/20/18,446
3508050,1/21/18,449
3508050,1/22/18,455
3508050,1/23/18,425
3508050,1/24/18,369
3508050,1/25/18,439
3508050,1/26/18,333
3508050,1/27/18,225
3508050,1/28/18,227
3508050,1/29/18,461
3508050,1/30/18,735
3508050,1/31/18,726
3508050,2/1/18,670
3508050,2/2/18,592
3508050,2/3/18,457
3508050,2/4/18,671
3508050,2/5/18,490
3508050,2/6/18,429
3508050,2/7/18,959
3508050,2/8/18,906
3508050,2/9/18,867
3508050,2/10/18,911
3508050,2/11/18,1450
3508050,2/12/18,1230
3508050,2/13/18,1230
3508050,2/14/18,1290
3508050,2/15/18,1150
3508050,2/16/18,966
3508050,2/17/18,996
3508050,2/18/18,989
3508050,2/19/18,976
3508050,2/20/18,962
3508050,2/21/18,967
3508050,2/22/18,959
3508050,2/23/18,919
3508050,2/24/18,717
3508050,2/25/18,796
3508050,2/26/18,905
3508050,2/27/18,816
3508050,2/28/18,785
3508050,3/1/18,927
3508050,3/2/18,1010
3508050,3/3/18,774
3508050,3/4/18,711
3508050,3/5/18,761
3508050,3/6/18,552
3508050,3/7/18,480
3508050,3/8/18,569
3508050,3/9/18,579
3508050,3/10/18,590
3508050,3/11/18,568
3508050,3/12/18,564
3508050,3/13/18,518
3508050,3/14/18,413
3508050,3/15/18,401
3508050,3/16/18,135
3508050,3/17/18,84.3
3508050,3/18/18,83.7
3508050,3/19/18,82.5
3508050,3/20/18,95.8
3508050,3/21/18,89.5
3508050,3/22/18,421
3508050,3/23/18,334
3508050,3/24/18,351
3508050,3/25/18,450
3508050,3/26/18,442
3508050,3/27/18,397
3508050,3/28/18,490
3508050,3/29/18,511
3508050,3/30/18,334
3508050,3/31/18,271
3508050,4/1/18,335
3508050,4/2/18,377
3508050,4/3/18,352
3508050,4/4/18,333
3508050,4/5/18,358
3508050,4/6/18,276
3508050,4/7/18,473
3508050,4/8/18,484
3508050,4/9/18,271
3508050,4/10/18,265
3508050,4/11/18,255
3508050,4/12/18,221
3508050,4/13/18,210
3508050,4/14/18,350
3508050,4/15/18,350
3508050,4/16/18,788
3508050,4/17/18,498
3508050,4/18/18,503
3508050,4/19/18,503
3508050,4/20/18,312
3508050,4/21/18,417
3508050,4/22/18,542
3508050,4/23/18,992
3508050,4/24/18,1650
3508050,4/25/18,1540
3508050,4/26/18,1410
3508050,4/27/18,1080
3508050,4/28/18,975
3508050,4/29/18,969
3508050,4/30/18,819
3508050,5/1/18,828
3508050,5/2/18,736
3508050,5/3/18,477
3508050,5/4/18,710
3508050,5/5/18,732
3508050,5/6/18,672
3508050,5/7/18,566
3508050,5/8/18,439
3508050,5/9/18,647
